S.No,Stretch,Observation location,Reason for obstructions,Remark,Effected Route
1,Nagri Depot towards Harsh Vihar,Bank Colony,Unauthorized  Auto Parking,Lane Driving possible with the help of Bus Marshals,"33,33A, 165, 165A, 205, 208,212,213,244,259,261,370,374,380,971,YMS,OMS"
2,Harsh Vihar towards Nagri Depot,Bank Colony,Bus Lane Clear,Lane Driving Possible,"33,33A, 165, 165A, 205, 208,212,213,244,259,261,370,374,380,971,YMS,OMS"
3,Nand Nagri Depot towards Yamuna Vihar,Nand Nagri Depot,"Unauthorized  Auto Rickshaw, Private Bus, Auto Parking, No BQS Shelter & No Bus Box",Lane Driving possible with the help of Bus Marshals,"33,33A, 165, 165A, 205, 208,212,213,244,259,261,370,374,380,971,YMS,OMS"
4,Yamuna Vihar C-4 towards Bhajanpura,Yamuna Vihar C-4 ,Delhi Metro Construction,Lane Driving  Possible,"971,165,33,207,YMS,234,253,212,261,   OMS,270,227,254,333"
5,Bhajanpura towards Signature  bridge,Bhajan Pura,Delhi Metro Construction,Lane Driving  Possible,"971,165,33,207,YMS,234,253,212,261, OMS,270,227,254,333"
6,,Khajoori,Unauthorized  Auto Parking,Lane Driving possible with the help of Bus Marshals,"971,165,33,207,YMS,234,253,212,261, OMS,270,227,254,333"
7,Dilshad Garden  towards jhilmil,Dilshad Garden,Unauthorized  E-Rickshaw & Auto Parking,Lane Driving possible with the help of Bus Marshals,"214, 216, 236, 165, 221"
8,Welcome Metro  towards seelampur,Welcome Metro,Bus Lane Clear,Lane Driving Possible,"GL-23, 211, 143, 374, 214, 246, 236, 221, 939, 982"
9,Welcome Metro  towards seelampur,Seelampur,"Unauthorized  E-Rickshaw, Gramin Sewa & Auto Parking",Lane Driving Not Possible,"GL-23, 211, 143, 374, 214, 246, 236, 221, 939, 982"
10,Gandhi Nagar towards Geeta colony,GANDHI  NAGAR,"UN AUTHORISED E-RICKSHAW,GRAMIN SEWA& AUTO PARKING ",LINE DRIVING POSSIBLE WITH THE HELP OF BUS MARSHALS,273 274 370 YMS(-)
11,Delhi police Apartment towards Hindan regulator,DELHI POLICE APPTT,BUS LINE POSSIBLE,LANE DRIVING  POSSIBLE,347 492 443 390 611A 355
12,Hindan regulator towards Samachar Apartment,Hindan regulator,BUS LINE POSSIBLE,LANE DRIVING  POSSIBLE,347 355 492 443
13,Samachar apartment towards Geeta colony,SAMACHAR APPTT,BUS LINE POSSIBLE,LANE DRIVING  POSSIBLE,492 443 347 355 611A  611 EXP
14,Hindan regulator towards Noida border,Hindan regulator,BUS LINE POSSIBLE,LANE DRIVING  POSSIBLE,347 355 492 443 
15,Signature bridge towards Khajuri,Signature Bridge,Lane Driving Possible,------,"33,33A,165,165A,205,212,213,244, 259,261,370,374,380,971,YMS,OMS, 208"
16,Bhajanpura towards Yamuna Vihar,Bhajanpura,Delhi Metro Construction,"After complete of Metro construction, Lane Driving Possible","33,33A,165,165A,205,212,213,244, 259,261,370,374,380,971,YMS,OMS, 208"
17,Yamuna Vihar C-4 towards Nand Nagri,Yamuna Vihar C-4,Lane Driving Possible,------,"33,33A,165,165A,205,212,213,244, 259,261,370,374,380,971,YMS,OMS, 208"
18,Nand Nagri Depot towards Bhopura,Nand Nagri,Lane Driving Possible,"Unauthorized Auto Richshaw, Auto Parking, No Bus Box.","33,33A,165,165A,205,208,212,213, 244,259,261,370,374,380,971,YMS ,OMS,234"
19,Harsh Vihar towards Bhopura,Harsh Vihar,Lane Driving Possible with the help of Marshal,"Unauthorized Auto Richshaw, Auto Parking, No Bus Box.",234
20,S K Khan towards Maharani Bagh,Sarai Kale Khan,"Unautharised parking,Auto,Car
Roadways Bus","Line Driving Possible
from Marshal Help","711,534,543,492
567,492,412,473
306,TMS(+),469,
311
"
21,IPD To Sarai Kale Khan,IP Depot,"Smooth Line 
Driving",Line Driving Possible,"374,By Pass Exp,
261,TMS(+),318,

"
22,RRR Bridge to IPD,RRR Bridge,"Smooth Line 
Driving",Line Driving Possible,"261,412,949,980,
244,318,Tms(-),
355,964"
23,IPD To Rajghat,IP Depot,"Smooth Line 
Driving",Line Driving Possible,"261,244,412,by 
Pass Exp,374,396
E-44,Tms(-)"
24,"Shanti Van To
Kashmiri Gate",Shanti Van,"Smooth Line 
Driving",Line Driving Possible,"447,By Pass Exp
503,706,370,167,
135,173,621,244,"
25,"
Kashmiri Gate
To Mori Gate",Kashmiri Gate,"Unautharised parking,Auto,Car","Line Driving Possible
from Marshal Help","729,721,120,939,
817,191,205,236,
425,214,140,838
939,883,405,901"
26,jhimil towards Apsra Border,Jhilmil,"Unauthorized  E-Rikshaw, Auto Riksha Parking",Lane Driving not Possible without Help,"221,236,165, 982,212"
27,Shayam Giri Mandir towards K. gate,Shyam Giri Mandir,Bus Lane Clear,Lane Driving Possible,"GL-23,221,236,982,211"
28,K. gate  towards Rajghat,Kashmiri Gate,"Unauthorized  E-Rikshaw, Auto Riksha, Private Bus Operator, Drinking Water vendors",Lane Driving not Possible without Help,"TMS,422,423"
29,Shyam giri mandir  towards Seelampur,Shyam Giri Mandir,Bus Lane Clear,Lane Driving Possible,"GL-23,221,236,982,211"
